id,title,author_id,mode_id,year,text
1,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Ablandamiento. Eliminación de iones calcio y el magnesio del agua para reducir su dureza.
2,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Acidificación: es un proceso químico por el que algunas sustancias se transforman (reacción química), adquiriendo características ácidas y esto ocasiona que disminuya el pH de un medio líquido."
3,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Acuoso. Disolución en el que al agua es el disolvente.
4,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Agua azul. Agua superficial y subterránea requerida para la producción de un bien o servicio.
5,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Agua blanda. Cualquier agua que no contiene grandes concentraciones de minerales disueltos como calcio y magnesio.
6,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Agua gris. Volumen de agua necesario para diluir o asimilar la carga de contaminantes de una cuenca o reserva según los estándares de calidad internacionales.
7,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Agua verde. Volumen de agua usado en la generación de un producto, que no corre superficialmente ni constituye una recarga de la reserva freática, sino que es almacenada permanentemente o temporalmente en la superficie, como el agua de lluvia almacenada en el suelo como humedad; se produce un flujo evapotranspiración del suelo que se utiliza en agricultura y producción forestal."
8,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Agua virtual. Volumen de agua requerido para generar una mercancía o servicio (producir, empacar y transportar)."
9,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Anión: Ion negativo   Calentamiento global: es el aumento de la temperatura media de la atmósfera de la Tierra y de los mares como consecuencia del cambio climático, producto de la actividad humana, provocando cambios en el clima de la Tierra y poniendo en peligro el equilibrio natural del planeta."
10,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Catión: Ion positivo Coagulación. Desestabilización de partículas coloidales por la adición de un reactivo químico, llamado coagulante. Esto ocurre a través de la neutralización de las cargas."
11,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Concentración. Medida de la cantidad de soluto disuelta en una cantidad específica de disolución.
12,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Disociación. Proceso mediante el cual las partículas cargadas de un sólido iónico se separan unas de otras en disolución.
13,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Disolución. Mezcla homogénea en la cual el soluto se compone de partículas pequeñas e individuales (iones o moléculas) capaces de atravesar filtros y membranas semipermeables.
14,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,Disolvente. Sustancia que disuelve al soluto cuando se hace una disolución.
15,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Dispositivo móvil. Aparato tecnológico de tamaño pequeño que cuenta con características tales como: capacidad de procesamiento, conexión permanente o intermitente a una red, capacidad de almacenamiento, entre otros. Su característica principal es la movilidad debido a su tamaño y su facilidad de transportarse."
16,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Doble desplazamiento. Tipo de reacción en donde se intercambian las porciones las porciones positivas y negativas de dos compuetsos    Efecto invernadero: es un fenómeno natural en que los gases componentes de la atmosfera retienen parte de la energía que el suelo emite después de haber sido calentado por la radiación solar y es positivo porque permite que las temperaturas sean las adecuadas para nuestra subsistencia. Estos gases en proporciones más pequeñas forman parte de la composición global del aire, es un gas atmosférico que absorbe y emite radiación dentro del rango infrarrojo."
17,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Electronegatividad: tendencia o capacidad de un átomo, en una molécula, para atraer hacia sí los electrones de otro átomo en un enlace covalente Electrones de valencia: electrones de la capa más externa de un átomo y que participan en los enlaces químicos."
18,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Espectro de emisión. Emisión de radiación debida a que los electrones regresan del estado excitado al basal, esto después de haber sido sometido un sistema a una energía determinada."
19,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Estrés hídrico. Deterioro de los recursos de agua dulce en términos de cantidad (acuíferos sobreexplotados, ríos secos, lagos contaminados) y de calidad (eutrofización, contaminación de la materia orgánica, intrusión salina); se produce cuando la demanda de agua es más grande que la cantidad disponible."
20,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Huella hídrica. Indicador del uso de agua dulce que considera el agua requerida directa e indirectamente en la generación de un producto; es toda el agua que utilizamos en nuestra vida diaria, para producir nuestra comida, en procesos industriales y generación de energía, así como la que ensuciamos y contaminamos a través de esos mismos    Indicador: es un compuesto que se añade a una disolución y se produce un cambio químico, en el que es apreciable un cambio de  Ionización. Proceso mediante el cual se forman iones a partir de un compuesto covalente."
21,"QUÍMICA III, Guía cuaderno de trabajo académico",1,1,2017,"Minería. Actividad económica primaria que engloba la exploración, explotación y aprovechamiento de los minerales para diversas actividades del ser humano."
